original,connected,weight
1,41,7.328334293941912
1,42,10.35812659049649
1,43,13.339441168697626
2,0,2.2986978581930124
2,1,2.227189888046987
2,3,4.661350984301205
2,4,8.495410019224744
2,5,7.830935408890891
2,6,11.965669777430966
2,7,6.624544177986439
2,8,10.512281980465959
2,9,5.988667288432967
2,10,8.562790987000616
2,11,3.0383102057642146
2,12,4.251518695580681
2,13,6.717361262829754
2,14,9.386355179534396
2,15,10.47773051194259
2,16,8.115708787344804
2,17,7.653716478274074
2,18,11.928364226995559
2,19,10.155648350443874
2,20,6.165023308071497
2,21,12.4106590034012
2,22,10.730819338063986
2,23,9.100157429333462
2,24,9.639430781444018
2,25,6.299521029857997
2,26,6.657242220421896
2,27,11.987013180811829
2,28,6.4730531893963
2,29,9.160319985540411
2,30,5.369801603046699
2,31,7.354678016433107
2,32,7.410192693163519
2,33,4.495965654000009
2,34,7.467672121495117
2,35,11.682893743890054
2,36,7.680127645442728
2,37,4.344503851590881
2,38,6.090644727577798
2,39,10.349702503449386
2,40,6.329579232003243
2,41,6.41300638920557
2,42,9.73353655443437
2,43,11.624229332965177
3,0,4.692071328147775
3,1,5.1964145408067735
3,2,4.661350984301205
3,4,13.15352625093423
3,5,3.916512964005459
3,6,10.080219430016111
3,7,10.250050901354102
3,8,14.09700748195988
3,9,6.255240568694133
3,10,12.251571378689777
3,11,6.789568314580434
3,12,5.449620920773313
3,13,11.086691933794487
3,14,13.342111985361713
3,15,6.731938766743674
3,16,7.352067438361097
3,17,9.733978018952149
3,18,8.335229627762276
3,19,13.982436175031223
3,20,10.079610633906842
3,21,11.62686762135556
3,22,7.020366603959844
3,23,4.4880415637645354
3,24,9.670277856134483
3,25,6.6017977039545706
3,26,2.4162755635655238
3,27,15.311658228305538
3,28,11.13421160551719
3,29,4.740464533665151
3,30,9.804135574637705
3,31,5.5932134378986875
3,32,5.854295136252011
3,33,4.164089256631497
3,34,10.092405804403116
3,35,15.167923455560652
3,36,11.751395319355156
3,37,7.942394491193532
3,38,7.403140122098985
3,39,12.178039411885228
3,40,5.854426601752259
3,41,10.964885411951055
3,42,5.186303731072927
3,43,9.040371637483025
4,0,9.208284132412544
4,1,8.849523430432036
4,2,8.495410019224744
4,3,13.15352625093423
4,5,16.095834613365344
4,6,17.967250751876378
4,7,6.3419573448807975
4,8,8.228824757322116
4,9,12.087267898913856
4,10,7.081796889052784
4,11,7.474257696451011
4,12,10.577424715452713
4,13,3.5875689539762727
4,14,6.38614160935038
4,15,18.513645777339708
4,16,14.311779818436872
4,17,9.92749322541368
4,18,19.786775456531853
4,19,6.4322983685109385
4,20,6.106715770872124
4,21,17.05583725386069
4,22,18.731612666974254
4,23,17.547341309175224
4,24,14.006636245447057
4,25,11.814700693369591
4,26,15.079011286835726
4,27,9.097445084134756
4,28,2.068014960965897
4,29,17.488773898853196
4,30,4.038892225295096
4,31,14.551507703445266
4,32,14.450700217037511
4,33,11.833935720967354
4,34,8.836075098873124
4,35,8.422852798786868
4,36,5.504957739816599
4,37,7.2779587745966845
4,38,10.573466040377282
4,39,11.656646620252241
4,40,12.566765947312877
4,41,2.7250296708256885
4,42,18.13169189633975
4,43,18.370156458027154
5,0,8.47992768068254
5,1,7.330439832307762
5,2,7.830935408890891
5,3,3.916512964005459
5,4,16.095834613365344
5,6,12.789197682282937
5,7,14.018548901480607
5,8,15.172948570811721
5,9,5.943742017101082
5,10,13.569086173363242
5,11,8.894321345876271
5,12,6.291609235045276
5,13,14.537101324857758
5,14,14.873329585903031
5,15,2.817784475515811
5,16,5.686439613165047
5,17,13.648813522210872
5,18,4.419034819932803
5,19,17.72348541197507
5,20,11.824946048078395
5,21,14.83856258553105
5,22,3.1046627925621824
5,23,4.247932923991769
5,24,13.272811928007046
5,25,10.410049022907897
5,26,1.539226548584207
5,27,19.177161611556894
5,28,14.028388458526996
5,29,5.274909875778732
5,30,13.197616341068201
5,31,3.644325011030115
5,32,3.9939733242381554
5,33,4.678829205488591
5,34,14.00025864524634
5,35,19.004522969849038
5,36,13.521383716544769
5,37,9.698718987020397
5,38,11.30172287732706
5,39,16.065851567366447
5,40,9.554683996691681
5,41,14.226992235433418
5,42,5.0616620027718735
5,43,11.333268788832443
6,0,9.855642935711325
6,1,13.873695113838702
6,2,11.965669777430966
6,3,10.080219430016111
6,4,17.967250751876378
6,5,12.789197682282937
6,7,12.003503299761013
6,8,22.421319882724852
6,9,16.233315905753365
6,10,20.466492237592
6,11,15.002092292948982
6,12,15.084644513504541
6,13,14.524963335062706
6,14,21.131303344255045
6,15,14.985761842279377
6,16,17.422598579314926
6,17,8.665430944596496
6,18,16.478649118492434
6,19,14.695702135899737
6,20,18.038857930025987
6,21,3.012343481293318
6,22,15.261056544542953
6,23,9.210462497237279
6,24,4.548335444261639
6,25,6.2139588264725125
6,26,11.473196211293317
6,27,14.200231213937688
6,28,16.56765169441205
6,29,8.059783720177549
6,30,13.946565271052837
6,31,15.575593583128287
6,32,15.865798001810518
6,33,14.116930506298413
6,34,9.827159441657818
6,35,14.53567622358972
6,36,19.397320032179717
6,37,16.309815782854518
6,38,7.395902803231572
6,39,8.881230456886406
6,40,5.729098232172637
6,41,15.24240640589619
6,42,8.760438378834452
6,43,1.9456215911596884
7,0,5.560441491795707
7,1,8.441579242873146
7,2,6.624544177986439
7,3,10.250050901354102
7,4,6.3419573448807975
7,5,14.018548901480607
7,6,12.003503299761013
7,8,13.143668090416385
7,9,12.414589796480863
7,10,11.420971136164379
7,11,8.096258639296753
7,12,10.632022378073712
7,13,2.7569756767107374
7,14,11.40480170473647
7,15,16.79791115758296
7,16,14.640811196656385
7,17,3.5983961155285678
7,18,18.33091842211359
7,19,3.737109418201649
7,20,9.324567109760252
7,21,10.782419014599675
7,22,17.070317857393874
7,23,13.92430699561888
7,24,7.777067364254066
7,25,6.210411661733852
7,26,12.62255046039668
7,27,5.367900812205349
7,28,5.6384059360304235
7,29,13.494152097265001
7,30,2.944830667172998
7,31,13.978878454548262
7,32,14.03286314062336
7,33,11.11474377878058
7,34,2.4948961530864207
7,35,5.064107651326292
7,36,9.879156123533837
7,37,8.898997258217204
7,38,4.764225732404182
7,39,5.477388763732298
7,40,7.200897420341651
7,41,3.81345289685889
7,42,14.284813078787392
7,43,12.720194487456057
8,0,12.568359568359893
8,1,8.977253159403412
8,2,10.512281980465959
8,3,14.09700748195988
8,4,8.228824757322116
8,5,15.172948570811721
8,6,22.421319882724852
8,7,13.143668090416385
8,9,9.344975502170358
8,10,1.9549064222178312
8,11,7.544048944422552
8,12,8.974792855668253
8,13,10.774198623303937
8,14,1.8480342825790776
8,15,16.61379574272868
8,16,10.73901115889636
8,17,16.209876645205394
8,18,17.33266751601315
8,19,14.491248153980283
8,20,4.383926248943555
8,21,22.497234898055396
8,22,16.72156262413106
8,23,18.350525629147057
8,24,19.505720639643663
8,25,16.437124293207038
8,26,14.899568904696341
8,27,17.151682092849306
8,28,7.674095305050314
8,29,18.809560808219626
8,30,10.198843875966514
8,31,12.098213188784218
8,32,11.825169386827366
8,33,10.589679606388655
8,34,15.396435028846483
8,35,16.51332268418445
8,36,3.2784900354460498
8,37,6.25851107687591
8,38,15.734993043379337
8,39,18.5586619879512
8,40,16.70802992911604
8,41,9.57635467546466
8,42,19.140766579074814
8,43,22.13537485789099
9,0,8.018226507603718
9,1,3.9731793845006598
9,2,5.988667288432967
9,3,6.255240568694133
9,4,12.087267898913856
9,5,5.943742017101082
9,6,16.233315905753365
9,7,12.414589796480863
9,8,9.344975502170358
9,10,7.90476952236369
9,11,4.743544445895706
9,12,1.7825768141488512
9,13,11.77456629336334
9,14,9.296811382941595
9,15,7.300568869808378
9,16,2.2911261605850433
